item	original	revised	status	location
51	1	1	MATCH	main manuscript before references
54	1	1	MATCH	main manuscript before references
56719	1	1	MATCH	main manuscript before references
57	2	2	MATCH	main manuscript before references
58	1	1	MATCH	main manuscript before references
6	5	5	MATCH	main manuscript before references
6.746e-55	1	1	MATCH	main manuscript before references
633	1	1	MATCH	main manuscript before references
636	1	1	MATCH	main manuscript before references
642	1	1	MATCH	main manuscript before references
644	1	1	MATCH	main manuscript before references
647	1	1	MATCH	main manuscript before references
65	1	1	MATCH	main manuscript before references
6565	1	1	MATCH	main manuscript before references
68564	1	1	MATCH	main manuscript before references
7	3	3	MATCH	main manuscript before references
7.229e-08	1	1	MATCH	main manuscript before references
7.494e-10	1	1	MATCH	main manuscript before references
70158	1	1	MATCH	main manuscript before references
76	3	3	MATCH	main manuscript before references
8	6	6	MATCH	main manuscript before references
816	1	1	MATCH	main manuscript before references
836	1	1	MATCH	main manuscript before references
887	2	2	MATCH	main manuscript before references
9	4	4	MATCH	main manuscript before references
90	1	1	MATCH	main manuscript before references
903	1	1	MATCH	main manuscript before references
91	2	1	MATCH	main manuscript before references
915	1	1	MATCH	main manuscript before references
97	1	1	MATCH	main manuscript before references
98	1	1	MATCH	main manuscript before references
E-MTAB-14509	4	3	MATCH	main manuscript before references
F1	18	16	MATCH	main manuscript before references
F2	18	16	MATCH	main manuscript before references
F6	18	16	MATCH	main manuscript before references
F7	16	15	MATCH	main manuscript before references
FDR = 2.868e-09	1	1	MATCH	main manuscript before references
FDR = 4.048e-54	1	1	MATCH	main manuscript before references
FDR = 7.229e-08	1	1	MATCH	main manuscript before references
FDR = 7.494e-10	1	1	MATCH	main manuscript before references
GCST90472771	4	4	MATCH	main manuscript before references
GSE173706	4	4	MATCH	main manuscript before references
GSE202011	5	5	MATCH	main manuscript before references
GSE225475	5	5	MATCH	main manuscript before references
GSE228421	4	4	MATCH	main manuscript before references
GSE244679	7	7	MATCH	main manuscript before references
GSE61281	1	1	MATCH	main manuscript before references
Jaccard = 0.562	0	1	MATCH_FORMATTING	main manuscript before references
P = 0.6647	1	1	MATCH	main manuscript before references
P = 0.7912	1	1	MATCH	main manuscript before references
P = 1.434e-09	1	1	MATCH	main manuscript before references
P = 2.498e-10	1	1	MATCH	main manuscript before references
P = 4.820e-08	1	1	MATCH	main manuscript before references
P = 6.746e-55	1	1	MATCH	main manuscript before references
PP4 = 0.639	1	1	MATCH	main manuscript before references
PP4 = 0.934	1	1	MATCH	main manuscript before references
PP4 = 0.945	1	1	MATCH	main manuscript before references
PP4 = 0.960	1	1	MATCH	main manuscript before references
PP4 = 0.971	1	1	MATCH	main manuscript before references
SE = 0.0274	1	1	MATCH	main manuscript before references
SE = 0.0409	1	1	MATCH	main manuscript before references
SE = 0.0449	1	1	MATCH	main manuscript before references
SE = 0.0751	1	1	MATCH	main manuscript before references
k = 2	4	5	MATCH	main manuscript before references
rg = -0.2233	1	1	MATCH	main manuscript before references
rg = -0.2717	1	1	MATCH	main manuscript before references
rg = 0.0118	1	1	MATCH	main manuscript before references
rg = 0.0255	1	1	MATCH	main manuscript before references
rg = 0.1732	1	1	MATCH	main manuscript before references
rg = 1.1715	1	1	MATCH	main manuscript before references
rho = -0.0479	1	1	MATCH	main manuscript before references
rho = -0.2078	1	1	MATCH	main manuscript before references
rho = 0.0787	0	1	MATCH_FORMATTING	main manuscript before references
rho = 0.485	1	1	MATCH	main manuscript before references
rho = 0.489	1	1	MATCH	main manuscript before references
rho = 0.491	1	1	MATCH	main manuscript before references
rho = 0.496	1	1	MATCH	main manuscript before references
rho = 0.502	2	2	MATCH	main manuscript before references
rho = 0.505	1	2	MATCH	main manuscript before references
rho = 0.506	2	2	MATCH	main manuscript before references
rho = 0.546	2	2	MATCH	main manuscript before references
rho = 0.577	1	1	MATCH	main manuscript before references
rho = 0.6315	1	1	MATCH	main manuscript before references
rho = 0.6508	1	1	MATCH	main manuscript before references
