axis	dominant_refined_state_paired	parent_cell_type	score_localization	n_paired_donors	paired_LS_minus_NL	paired_ci_low	paired_ci_high	paired_fdr	lesional_vs_healthy_top_state	lesional_vs_healthy_effect	core_extended_spearman	independent_scrna_confidence	Program	GSE225475_dominant_marker	GSE225475_median_rho	GSE202011_dominant_marker	GSE202011_median_rho	Same_marker?	Interpretation_allowed
F1	keratinocyte_inflammatory_T17	keratinocyte	melanocyte_unresolved	10	0.0647194746131646	0.0213119239638076	0.1098899252276996	0.2783625730994152	keratinocyte_inflammatory_T17	0.0839642657077631	0.9537993568004018	LOW	F1	keratinocyte_stress_hypoxia	0.5023091804132536	keratinocyte_stress_hypoxia	0.4894746551524132	YES	cross-dataset spatial concordance
F2	keratinocyte_stress_hypoxia	keratinocyte	melanocyte_unresolved	8	0.0372059455601924	0.0100310765285978	0.0658886370867769	0.3124390243902439	keratinocyte_inflammatory_T17	0.0507459733692151	0.9824639500397226	LOW	F2	keratinocyte_stress_hypoxia	0.5060327012745283	keratinocyte_stress_hypoxia	0.49077328280802085	YES	cross-dataset spatial concordance
F6	keratinocyte_stress_hypoxia	keratinocyte	melanocyte_unresolved	8	0.0935217806725925	0.0173958471441127	0.1696709737525245	0.3124390243902439	keratinocyte_inflammatory_T17	0.1114866743196894	0.96339962297012	LOW	F6	keratinocyte_stress_hypoxia	0.5457899639646722	keratinocyte_stress_hypoxia	0.4961148623199959	YES	cross-dataset spatial concordance
F7	B_cell_unresolved	B_cell	keratinocyte_basal	9	0.128238618326088	-0.0114021465621961	0.3286220767875259	0.6222222222222221	dendritic_LAMP3_CCR7	0.4707836719436632	0.943936028156901	LOW	F7	keratinocyte_basal	0.5049055863453149	keratinocyte_stress_hypoxia	0.4847144138620564	NO	dataset-specific spatial contextualization
