accession	level	sample_accession	url
GSE228421	sample	GSM7120458	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120458/suppl/GSM7120458_P3_V1_NL.matrix.mtx.gz
GSE228421	sample	GSM7120459	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120459/suppl/GSM7120459_P3_V2_L.barcodes.tsv.gz
GSE228421	sample	GSM7120459	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120459/suppl/GSM7120459_P3_V2_L.features.tsv.gz
GSE228421	sample	GSM7120459	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120459/suppl/GSM7120459_P3_V2_L.matrix.mtx.gz
GSE228421	sample	GSM7120460	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120460/suppl/GSM7120460_P3_V3_L.barcodes.tsv.gz
GSE228421	sample	GSM7120460	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120460/suppl/GSM7120460_P3_V3_L.features.tsv.gz
GSE228421	sample	GSM7120460	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120460/suppl/GSM7120460_P3_V3_L.matrix.mtx.gz
GSE228421	sample	GSM7120461	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120461/suppl/GSM7120461_P4_V1_L.barcodes.tsv.gz
GSE228421	sample	GSM7120461	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120461/suppl/GSM7120461_P4_V1_L.features.tsv.gz
GSE228421	sample	GSM7120461	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120461/suppl/GSM7120461_P4_V1_L.matrix.mtx.gz
GSE228421	sample	GSM7120462	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120462/suppl/GSM7120462_P4_V1_NL.barcodes.tsv.gz
GSE228421	sample	GSM7120462	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120462/suppl/GSM7120462_P4_V1_NL.features.tsv.gz
GSE228421	sample	GSM7120462	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120462/suppl/GSM7120462_P4_V1_NL.matrix.mtx.gz
GSE228421	sample	GSM7120463	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120463/suppl/GSM7120463_P4_V2_L.barcodes.tsv.gz
GSE228421	sample	GSM7120463	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120463/suppl/GSM7120463_P4_V2_L.features.tsv.gz
GSE228421	sample	GSM7120463	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120463/suppl/GSM7120463_P4_V2_L.matrix.mtx.gz
GSE228421	sample	GSM7120464	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120464/suppl/GSM7120464_P4_V3_L.barcodes.tsv.gz
GSE228421	sample	GSM7120464	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120464/suppl/GSM7120464_P4_V3_L.features.tsv.gz
GSE228421	sample	GSM7120464	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120464/suppl/GSM7120464_P4_V3_L.matrix.mtx.gz
GSE228421	sample	GSM7120465	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120465/suppl/GSM7120465_P5_V1_L.barcodes.tsv.gz
GSE228421	sample	GSM7120465	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120465/suppl/GSM7120465_P5_V1_L.features.tsv.gz
GSE228421	sample	GSM7120465	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120465/suppl/GSM7120465_P5_V1_L.matrix.mtx.gz
GSE228421	sample	GSM7120466	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120466/suppl/GSM7120466_P5_V1_NL.barcodes.tsv.gz
GSE228421	sample	GSM7120466	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120466/suppl/GSM7120466_P5_V1_NL.features.tsv.gz
GSE228421	sample	GSM7120466	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120466/suppl/GSM7120466_P5_V1_NL.matrix.mtx.gz
GSE228421	sample	GSM7120467	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120467/suppl/GSM7120467_P5_V2_L.barcodes.tsv.gz
GSE228421	sample	GSM7120467	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120467/suppl/GSM7120467_P5_V2_L.features.tsv.gz
GSE228421	sample	GSM7120467	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120467/suppl/GSM7120467_P5_V2_L.matrix.mtx.gz
GSE228421	sample	GSM7120468	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120468/suppl/GSM7120468_P5_V3_L.barcodes.tsv.gz
GSE228421	sample	GSM7120468	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120468/suppl/GSM7120468_P5_V3_L.features.tsv.gz
