sample_accession	axis	program_type	spatial_program	spot_spearman	n_spots
GSM6086615	F2	EXTENDED	myeloid_dendritic	0.5644915764599349	469
GSM6086615	F2	EXTENDED	T_NK_cytotoxic	0.493014657527656	469
GSM6086615	F2	EXTENDED	B_plasma	0.16795580800086965	469
GSM6086615	F6	CORE	keratinocyte_basal	0.5880887597723736	469
GSM6086615	F6	CORE	keratinocyte_spinous_suprabasal	0.545392180294398	469
GSM6086615	F6	CORE	keratinocyte_inflammatory_T17	0.37850458117288943	469
GSM6086615	F6	CORE	keratinocyte_stress_hypoxia	0.6445961626002694	469
GSM6086615	F6	CORE	fibroblast_matrix	-0.19727161416777436	469
GSM6086615	F6	CORE	fibroblast_inflammatory	0.22931626608402947	469
GSM6086615	F6	CORE	endothelial_vascular	0.2348288900873246	469
GSM6086615	F6	CORE	myeloid_dendritic	0.6044003042341284	469
GSM6086615	F6	CORE	T_NK_cytotoxic	0.5626153269210492	469
GSM6086615	F6	CORE	B_plasma	0.12076497426624358	469
GSM6086615	F6	EXTENDED	keratinocyte_basal	0.5987583660562891	469
GSM6086615	F6	EXTENDED	keratinocyte_spinous_suprabasal	0.5370339097824947	469
GSM6086615	F6	EXTENDED	keratinocyte_inflammatory_T17	0.34703603795378973	469
GSM6086615	F6	EXTENDED	keratinocyte_stress_hypoxia	0.6309576299182208	469
GSM6086615	F6	EXTENDED	fibroblast_matrix	-0.19527818588909837	469
GSM6086615	F6	EXTENDED	fibroblast_inflammatory	0.2764989895098663	469
GSM6086615	F6	EXTENDED	endothelial_vascular	0.26044082435159543	469
GSM6086615	F6	EXTENDED	myeloid_dendritic	0.6155279300224521	469
GSM6086615	F6	EXTENDED	T_NK_cytotoxic	0.556867926529933	469
GSM6086615	F6	EXTENDED	B_plasma	0.1303357280164837	469
GSM6086615	F7	CORE	keratinocyte_basal	0.5936414047411857	469
GSM6086615	F7	CORE	keratinocyte_spinous_suprabasal	0.5110251568915978	469
GSM6086615	F7	CORE	keratinocyte_inflammatory_T17	0.3085954375887689	469
GSM6086615	F7	CORE	keratinocyte_stress_hypoxia	0.6101421028541358	469
GSM6086615	F7	CORE	fibroblast_matrix	-0.16343968975825027	469
GSM6086615	F7	CORE	fibroblast_inflammatory	0.3253937946878758	469
GSM6086615	F7	CORE	endothelial_vascular	0.2791080999375079	469
GSM6086615	F7	CORE	myeloid_dendritic	0.6118213182359479	469
GSM6086615	F7	CORE	T_NK_cytotoxic	0.5260752586784379	469
GSM6086615	F7	CORE	B_plasma	0.14658587159033673	469
GSM6086615	F7	EXTENDED	keratinocyte_basal	0.6041707390118014	469
GSM6086615	F7	EXTENDED	keratinocyte_spinous_suprabasal	0.5360427670453171	469
GSM6086615	F7	EXTENDED	keratinocyte_inflammatory_T17	0.3398424158097291	469
