gene_symbol	source_feature	evidence_family	loading_direction	loading_strength	n_source_features	n_evidence_families	leading_edge_status	tissue_support	replication_support	inclusion_reason
PSMD14	Hallmark::HALLMARK_MYC_TARGETS_V1;Reactome::AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274);Reactome::Asymmetric localization of PCP proteins;Reactome::Cellular response to hypoxia;Reactome::Defective CFTR causes cystic fibrosis;Reactome::Degradation of CDH1;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::Formation of paraxial mesoderm;Reactome::GLI3 is processed to GLI3R by the proteasome;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Metabolism of polyamines	Hallmark;Reactome	positive	18.9240625500679	26	2	CORE	LS	moderate	supported by multiple loading-ranked source features before downstream analyses
PSMD3	Hallmark::HALLMARK_MYC_TARGETS_V1;Reactome::AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274);Reactome::Asymmetric localization of PCP proteins;Reactome::Cellular response to hypoxia;Reactome::Defective CFTR causes cystic fibrosis;Reactome::Degradation of CDH1;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::Formation of paraxial mesoderm;Reactome::GLI3 is processed to GLI3R by the proteasome;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Metabolism of polyamines	Hallmark;Reactome	positive	18.9240625500679	26	2	CORE	LS	moderate	supported by multiple loading-ranked source features before downstream analyses
PSMD7	Hallmark::HALLMARK_MYC_TARGETS_V1;Reactome::AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274);Reactome::Asymmetric localization of PCP proteins;Reactome::Cellular response to hypoxia;Reactome::Defective CFTR causes cystic fibrosis;Reactome::Degradation of CDH1;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::Formation of paraxial mesoderm;Reactome::GLI3 is processed to GLI3R by the proteasome;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Metabolism of polyamines	Hallmark;Reactome	positive	18.9240625500679	26	2	CORE	LS	moderate	supported by multiple loading-ranked source features before downstream analyses
PSMD8	Hallmark::HALLMARK_MYC_TARGETS_V1;Reactome::AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274);Reactome::Asymmetric localization of PCP proteins;Reactome::Cellular response to hypoxia;Reactome::Defective CFTR causes cystic fibrosis;Reactome::Degradation of CDH1;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::Formation of paraxial mesoderm;Reactome::GLI3 is processed to GLI3R by the proteasome;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Metabolism of polyamines	Hallmark;Reactome	positive	18.9240625500679	26	2	CORE	LS	moderate	supported by multiple loading-ranked source features before downstream analyses
ADRM1	Reactome::AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274);Reactome::Asymmetric localization of PCP proteins;Reactome::Cellular response to hypoxia;Reactome::Defective CFTR causes cystic fibrosis;Reactome::Degradation of CDH1;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::Formation of paraxial mesoderm;Reactome::GLI3 is processed to GLI3R by the proteasome;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Metabolism of polyamines;Reactome::NIK-->noncanonical NF-kB signaling	Reactome	positive	18.162700355052948	25	1	CORE	LS	moderate	supported by multiple loading-ranked source features before downstream analyses
PSMA3	Reactome::AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274);Reactome::Asymmetric localization of PCP proteins;Reactome::Cellular response to hypoxia;Reactome::Defective CFTR causes cystic fibrosis;Reactome::Degradation of CDH1;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::Formation of paraxial mesoderm;Reactome::GLI3 is processed to GLI3R by the proteasome;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Metabolism of polyamines;Reactome::NIK-->noncanonical NF-kB signaling	Reactome	positive	18.162700355052948	25	1	CORE	LS	moderate	supported by multiple loading-ranked source features before downstream analyses
PSMA5	Reactome::AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274);Reactome::Asymmetric localization of PCP proteins;Reactome::Cellular response to hypoxia;Reactome::Defective CFTR causes cystic fibrosis;Reactome::Degradation of CDH1;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::Formation of paraxial mesoderm;Reactome::GLI3 is processed to GLI3R by the proteasome;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Metabolism of polyamines;Reactome::NIK-->noncanonical NF-kB signaling	Reactome	positive	18.162700355052948	25	1	CORE	LS	moderate	supported by multiple loading-ranked source features before downstream analyses
PSMB1	Reactome::AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274);Reactome::Asymmetric localization of PCP proteins;Reactome::Cellular response to hypoxia;Reactome::Defective CFTR causes cystic fibrosis;Reactome::Degradation of CDH1;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::Formation of paraxial mesoderm;Reactome::GLI3 is processed to GLI3R by the proteasome;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Metabolism of polyamines;Reactome::NIK-->noncanonical NF-kB signaling	Reactome	positive	18.162700355052948	25	1	CORE	LS	moderate	supported by multiple loading-ranked source features before downstream analyses
PSMB4	Reactome::AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274);Reactome::Asymmetric localization of PCP proteins;Reactome::Cellular response to hypoxia;Reactome::Defective CFTR causes cystic fibrosis;Reactome::Degradation of CDH1;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::Formation of paraxial mesoderm;Reactome::GLI3 is processed to GLI3R by the proteasome;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Metabolism of polyamines;Reactome::NIK-->noncanonical NF-kB signaling	Reactome	positive	18.162700355052948	25	1	CORE	LS	moderate	supported by multiple loading-ranked source features before downstream analyses
PSMB5	Reactome::AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274);Reactome::Asymmetric localization of PCP proteins;Reactome::Cellular response to hypoxia;Reactome::Defective CFTR causes cystic fibrosis;Reactome::Degradation of CDH1;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::Formation of paraxial mesoderm;Reactome::GLI3 is processed to GLI3R by the proteasome;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Metabolism of polyamines;Reactome::NIK-->noncanonical NF-kB signaling	Reactome	positive	18.162700355052948	25	1	CORE	LS	moderate	supported by multiple loading-ranked source features before downstream analyses
