zip_path	zip_exists	zip_size_mb	zip_status	has_besd	has_epi	has_esi	besd_uncompressed_mb	epi_uncompressed_mb	esi_uncompressed_mb	tissue	phase4c_tissue_group	phase4c_relevant	smr_usable	supports_formal_coloc	supports_smr_heidi	smr_runtime
/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Esophagus_Mucosa.zip	True	1078.84	PASS	True	True	True	2461.09	0.85	298.92	Esophagus_Mucosa	non_priority	False	True	False	True	Version 1.4.2 MacOS
/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Esophagus_Muscularis.zip	True	1043.72	PASS	True	True	True	2412.9	0.85	296.74	Esophagus_Muscularis	non_priority	False	True	False	True	Version 1.4.2 MacOS
/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Heart_Atrial_Appendage.zip	True	987.04	PASS	True	True	True	2330.91	0.83	293.98	Heart_Atrial_Appendage	non_priority	False	True	False	True	Version 1.4.2 MacOS
/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Heart_Left_Ventricle.zip	True	922.98	PASS	True	True	True	2158.62	0.76	292.33	Heart_Left_Ventricle	non_priority	False	True	False	True	Version 1.4.2 MacOS
/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Kidney_Cortex.zip	True	797.4	PASS	True	True	True	2339.81	0.88	276.63	Kidney_Cortex	non_priority	False	True	False	True	Version 1.4.2 MacOS
/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Liver.zip	True	841.8	PASS	True	True	True	2146.42	0.79	275.51	Liver	non_priority	False	True	False	True	Version 1.4.2 MacOS
/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Lung.zip	True	1137.05	PASS	True	True	True	2627.58	0.93	296.22	Lung	non_priority	False	True	False	True	Version 1.4.2 MacOS
/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Minor_Salivary_Gland.zip	True	1011.08	PASS	True	True	True	2587.16	0.91	296.85	Minor_Salivary_Gland	non_priority	False	True	False	True	Version 1.4.2 MacOS
/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Muscle_Skeletal.zip	True	985.32	PASS	True	True	True	2174.67	0.75	296.17	Muscle_Skeletal	non_priority	False	True	False	True	Version 1.4.2 MacOS
/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Nerve_Tibial.zip	True	1161.41	PASS	True	True	True	2644.48	0.92	303.27	Nerve_Tibial	non_priority	False	True	False	True	Version 1.4.2 MacOS
