source_table	donor_id	gsm	timepoint	tissue_state	baseline_primary	cell_type	F1_CORE_mean	F1_CORE_count	F1_EXTENDED_mean	F1_EXTENDED_count	F2_CORE_mean	F2_CORE_count	F2_EXTENDED_mean	F2_EXTENDED_count	F6_CORE_mean	F6_CORE_count	F6_EXTENDED_mean	F6_EXTENDED_count	F7_CORE_mean	F7_CORE_count	F7_EXTENDED_mean	F7_EXTENDED_count	axis	program_type	n_donors	mean_LS_minus_NL	bootstrap_ci_low	bootstrap_ci_high	signflip_p	fdr_by_program_type	dominant_cell_type	dominant_mean_score	secondary_cell_type	secondary_mean_score	specificity_delta_vs_second	n_cell_types_observed	core_extended_pseudobulk_spearman	n_donor_celltype_units	contrast	mean_treatment_shift
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120450	baseline	nonlesional	True	mast_cell	0.1974431061513087	227.0	0.121309441102753	227.0	0.0724875271445626	227.0	0.0899253909179006	227.0	0.1934664288208574	227.0	0.1953358101233275	227.0	1.0161513906582371	227.0	0.5406173164707792	227.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120450	baseline	nonlesional	True	melanocyte	0.3875421112600002	188.0	0.2877478134571347	188.0	0.1852856343608478	188.0	0.2052371430757892	188.0	0.4053402116631566	188.0	0.3748535345897162	188.0	1.1370521174821973	188.0	0.6727094828028618	188.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120450	baseline	nonlesional	True	myeloid_monocyte	0.2420975747484776	73.0	0.1810320416083276	73.0	0.133541179605269	73.0	0.149365987329091	73.0	0.3124931766882802	73.0	0.2977091892191993	73.0	1.0184741886197033	73.0	0.5990082626982052	73.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120450	baseline	nonlesional	True	pericyte_smooth_muscle	0.2756859264472532	907.0	0.2119332889772453	907.0	0.1566258603844579	907.0	0.1761481757926303	907.0	0.3121724268242326	907.0	0.3321528219906389	907.0	1.1936076958651596	907.0	0.6691655897076009	907.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120450	baseline	nonlesional	True	unassigned	0.1923099225823361	20.0	0.1248214830791581	20.0	0.0715290844998875	20.0	0.0897044678681867	20.0	0.1592637421544761	20.0	0.1649842435832003	20.0	0.6635053940892301	20.0	0.3706305912148221	20.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120451	day3	lesional	False	B_cell	0.246902669384399	269.0	0.1838876771118923	269.0	0.1311492747078886	269.0	0.1402798374729297	269.0	0.3351869743058248	269.0	0.3321252224957063	269.0	1.3383364500490953	269.0	0.7481718315460999	269.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120451	day3	lesional	False	NK_cell	0.222781914331623	14.0	0.1646263555669793	14.0	0.1239481560876406	14.0	0.1279192712775422	14.0	0.3160126841130211	14.0	0.3054712593607501	14.0	1.2146391077819338	14.0	0.6794228838732143	14.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120451	day3	lesional	False	T_cell	0.2456576541428189	125.0	0.1856785634825108	125.0	0.1436013131784899	125.0	0.145857041385818	125.0	0.3386074422309335	125.0	0.3373682030104317	125.0	1.2524890082498303	125.0	0.7076174292662085	125.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120451	day3	lesional	False	dendritic	0.2617974104886096	115.0	0.2094947232978399	115.0	0.1623154695593223	115.0	0.1671574060122697	115.0	0.381931250240604	115.0	0.3726813666190195	115.0	1.345373857285821	115.0	0.793004527318224	115.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120451	day3	lesional	False	endothelial	0.3130209521900546	819.0	0.2308938822421999	819.0	0.1768592741998473	819.0	0.1927410245124148	819.0	0.3655819039031153	819.0	0.3507568205788388	819.0	1.280704345059224	819.0	0.7293176229509273	819.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120451	day3	lesional	False	fibroblast	0.3089557652825466	2494.0	0.2369161058646335	2494.0	0.1679342135755272	2494.0	0.1967521606250891	2494.0	0.3343332055745681	2494.0	0.3287730470614242	2494.0	1.2067077597221223	2494.0	0.6918163057072085	2494.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120451	day3	lesional	False	keratinocyte	0.3629622984983264	6809.0	0.2492441409024185	6809.0	0.1458197610714486	6809.0	0.1661083566674462	6809.0	0.3913015354598416	6809.0	0.368258543146239	6809.0	1.247301584022698	6809.0	0.7114318602609868	6809.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120451	day3	lesional	False	mast_cell	0.1492717048984623	351.0	0.0879558308766575	351.0	0.049959352642966	351.0	0.0642908911456756	351.0	0.1398130443314413	351.0	0.1305292044092048	351.0	0.7319224941474833	351.0	0.3867600649205797	351.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120451	day3	lesional	False	melanocyte	0.3909457767549786	170.0	0.2742962428099639	170.0	0.1644996282374825	170.0	0.1881031104586605	170.0	0.3885036862578142	170.0	0.3439507292830202	170.0	0.9927515027987118	170.0	0.595498300487445	170.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120451	day3	lesional	False	myeloid_monocyte	0.2528845107080132	939.0	0.1954370473589084	939.0	0.1458520352449966	939.0	0.1558605708308551	939.0	0.3592067769733039	939.0	0.3314329676400742	939.0	1.2104076002596795	939.0	0.7079977008200329	939.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120451	day3	lesional	False	pericyte_smooth_muscle	0.3047160309148952	874.0	0.2276809926178593	874.0	0.1733233802135863	874.0	0.1887216069959	874.0	0.3592375897151459	874.0	0.3525497832023211	874.0	1.2571442267957031	874.0	0.7092508676124372	874.0																		
