source_table	axis	program_type	N_frozen_genes	N_tested_genes	beta	SE	P	FDR	direction	interpretation	observed_statistic	null_mean	null_SD	empirical_percentile	empirical_P	n_random_sets	null_set_id	target_genes	sampled_genes	fallback_draws	CORE_gene_count	mapped_gene_count	MHC_gene_count	MAGMA_MHC_excluded_beta	MAGMA_MHC_excluded_P	MAGMA_FDR	MAGMA_MHC_included_P	MHC_dependence	empirical_null_P	unique_gene_signal	conditional_signal	sLDSC_enrichment	sLDSC_P	genetic_specificity	final_genetic_tier	eligible_for_phase3b	eligible_for_comorbidity_phase
matched_null_generation_qc.tsv	F1																F1_NULL_0056	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0057	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0058	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0059	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0060	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0061	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0062	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0063	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0064	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0065	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0066	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0067	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0068	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0069	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0070	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0071	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0072	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0073	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0074	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0075	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0076	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0077	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0078	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0079	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0080	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0081	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0082	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0083	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0084	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0085	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0086	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0087	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0088	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0089	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0090	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0091	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0092	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0093	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0094	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0095	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0096	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0097	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0098	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0099	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0100	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0101	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0102	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0103	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0104	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0105	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0106	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0107	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0108	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0109	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0110	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0111	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0112	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0113	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0114	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0115	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0116	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0117	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0118	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0119	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0120	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0121	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0122	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0123	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0124	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0125	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0126	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0127	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0128	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0129	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0130	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0131	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0132	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0133	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0134	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0135	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0136	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0137	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0138	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0139	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0140	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0141	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0142	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0143	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0144	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0145	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0146	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0147	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0148	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0149	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0150	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0151	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0152	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0153	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0154	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0155	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0156	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0157	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0158	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0159	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0160	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0161	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0162	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0163	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0164	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0165	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0166	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0167	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0168	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0169	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0170	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0171	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0172	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0173	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0174	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0175	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0176	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0177	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0178	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0179	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0180	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0181	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0182	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0183	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0184	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0185	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0186	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0187	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0188	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0189	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0190	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0191	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0192	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0193	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0194	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0195	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0196	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0197	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0198	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0199	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0200	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0201	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0202	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0203	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0204	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0205	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0206	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0207	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0208	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0209	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0210	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0211	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0212	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0213	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0214	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0215	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0216	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0217	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0218	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0219	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0220	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0221	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0222	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0223	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0224	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0225	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0226	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0227	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0228	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0229	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0230	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0231	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0232	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0233	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0234	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0235	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0236	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0237	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0238	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0239	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0240	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0241	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0242	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0243	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0244	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0245	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0246	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0247	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0248	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0249	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0250	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0251	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0252	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0253	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0254	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0255	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0256	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0257	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0258	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0259	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0260	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0261	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0262	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0263	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0264	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0265	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0266	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0267	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0268	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0269	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0270	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0271	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0272	252.0	252.0	1.0																	
