gsm	donor_id	timepoint	tissue_state	file	bytes	sha256
GSM7120456	P2	day14	lesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120456/GSM7120456_P2_V3_L.barcodes.tsv.gz	19367571	871feb4474fc8c42dff7ade920184b4e14cab5d8b2a138d8e67d63f696a028c8
GSM7120457	P3	baseline	lesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120457/GSM7120457_P3_V1_L.barcodes.tsv.gz	19367571	871feb4474fc8c42dff7ade920184b4e14cab5d8b2a138d8e67d63f696a028c8
GSM7120457	P3	baseline	lesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120457/GSM7120457_P3_V1_L.features.tsv.gz	294580	b002e49db205e104d7514b173de2136052f717f2682f90c7d938bba6f2cce34f
GSM7120455	P2	day3	lesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120455/GSM7120455_P2_V2_L.matrix.mtx.gz	108050699	40f37d3721978e186109d267739b38b8d7ac4b3a86182f7838ac365934496adc
GSM7120457	P3	baseline	lesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120457/GSM7120457_P3_V1_L.matrix.mtx.gz	81033521	99c33d82c96546643ecc9179185d14ff392f4a355d3908ee35c6580be8fde01f
GSM7120458	P3	baseline	nonlesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120458/GSM7120458_P3_V1_NL.features.tsv.gz	294580	b002e49db205e104d7514b173de2136052f717f2682f90c7d938bba6f2cce34f
GSM7120458	P3	baseline	nonlesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120458/GSM7120458_P3_V1_NL.barcodes.tsv.gz	19367571	871feb4474fc8c42dff7ade920184b4e14cab5d8b2a138d8e67d63f696a028c8
GSM7120459	P3	day3	lesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120459/GSM7120459_P3_V2_L.barcodes.tsv.gz	19367571	871feb4474fc8c42dff7ade920184b4e14cab5d8b2a138d8e67d63f696a028c8
GSM7120459	P3	day3	lesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120459/GSM7120459_P3_V2_L.features.tsv.gz	294580	b002e49db205e104d7514b173de2136052f717f2682f90c7d938bba6f2cce34f
GSM7120458	P3	baseline	nonlesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120458/GSM7120458_P3_V1_NL.matrix.mtx.gz	73053268	c747977781b19fc5a4ae1debf39bb124f19f5ae750791ff5c8d5c0d89a26d211
