# MEAN_SAMPLE_SIZE = 82975
# TOTAL_GENES = 18005
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE          TYPE  NGENES         BETA     BETA_STD           SE            P
F1_NULL_0082       SET     252     0.049517    0.0058172     0.062074      0.21253
F1_NULL_0083       SET     252    -0.039736    -0.004668     0.062373      0.73795
F1_NULL_0084       SET     252     0.051161    0.0060102     0.059489       0.1949
F1_NULL_0085       SET     252     -0.11002    -0.012925     0.061838      0.96239
F1_NULL_0086       SET     252     0.033401    0.0039239     0.062221       0.2957
F1_NULL_0087       SET     252    -0.031541   -0.0037053     0.061312      0.69652
F1_NULL_0088       SET     252   -0.0070436  -0.00082747     0.061271      0.54576
F1_NULL_0089       SET     252   -0.0019319  -0.00022695     0.060874      0.51266
F1_NULL_0090       SET     252    -0.039511   -0.0046417     0.061724      0.73895
F1_NULL_0091       SET     252     -0.02922   -0.0034326     0.063231        0.678
F1_NULL_0092       SET     252     0.032832     0.003857     0.060686      0.29425
F1_NULL_0093       SET     252    0.0016171   0.00018997     0.061801      0.48956
F1_NULL_0094       SET     252    -0.013397   -0.0015739     0.062375      0.58503
F1_NULL_0095       SET     252    -0.076844   -0.0090275     0.063172      0.88808
F1_NULL_0096       SET     252     0.048703    0.0057215     0.062729      0.21876
F1_NULL_0097       SET     252     -0.05505   -0.0064671     0.060003      0.82054
F1_NULL_0098       SET     252     0.040513    0.0047594     0.061579      0.25531
F1_NULL_0099       SET     252    -0.071063   -0.0083483     0.063473      0.86855
F1_NULL_0100       SET     252     0.021559    0.0025328      0.06049      0.36077
F1_NULL_0101       SET     252     0.013963    0.0016403     0.061143      0.40968
F1_NULL_0102       SET     252    -0.095635    -0.011235     0.062521      0.93694
F1_NULL_0103       SET     252     0.021299    0.0025022     0.061397      0.36433
F1_NULL_0104       SET     252     0.071229    0.0083678     0.061769      0.12443
F1_NULL_0105       SET     252    -0.016588   -0.0019487     0.060957      0.60723
F1_NULL_0106       SET     252     0.023394    0.0027483     0.061312       0.3514
F1_NULL_0107       SET     252    0.0021714   0.00025509     0.060212      0.48562
F1_NULL_0108       SET     252    -0.023048   -0.0027076     0.062035      0.64488
F1_NULL_0109       SET     252       0.1729     0.020312     0.062548    0.0028553
F1_NULL_0110       SET     252    -0.028539   -0.0033527     0.061602      0.67841
F1_NULL_0111       SET     252     -0.11386    -0.013376     0.059347      0.97247
F1_NULL_0112       SET     252     0.019076     0.002241     0.061204      0.37765
F1_NULL_0113       SET     252      0.04604    0.0054087       0.0606      0.22371
F1_NULL_0114       SET     252      0.10156     0.011931      0.06153     0.049419
F1_NULL_0115       SET     252     -0.10175    -0.011953     0.062178      0.94912
F1_NULL_0116       SET     252    -0.036511   -0.0042893     0.061707      0.72297
F1_NULL_0117       SET     252      0.10193     0.011975      0.06098      0.04731
F1_NULL_0118       SET     252     0.018989    0.0022307     0.061747      0.37922
F1_NULL_0119       SET     252     0.053862    0.0063276     0.061986      0.19244
F1_NULL_0120       SET     252      0.09077     0.010663     0.061511     0.070023
F1_NULL_0121       SET     252   -0.0090724   -0.0010658     0.062917      0.55733
F1_NULL_0122       SET     252    0.0014247   0.00016737      0.06222      0.49087
F1_NULL_0123       SET     252      0.11544     0.013561     0.060502     0.028206
F1_NULL_0124       SET     252    0.0074973   0.00088076     0.062452      0.45222
F1_NULL_0125       SET     252    0.0045536   0.00053494      0.05974      0.46962
F1_NULL_0126       SET     252    -0.068734   -0.0080747     0.061966      0.86632
F1_NULL_0127       SET     252   -0.0011942  -0.00014029     0.061945      0.50769
F1_NULL_0128       SET     252      0.00889    0.0010444     0.061246       0.4423
F1_NULL_0129       SET     252    -0.016737   -0.0019662     0.060889      0.60829
F1_NULL_0130       SET     252    -0.047476   -0.0055774     0.061729      0.77908
F1_NULL_0131       SET     252     -0.06979   -0.0081987     0.062228      0.86896
F1_NULL_0132       SET     252     0.032021    0.0037618     0.061984      0.30272
F1_NULL_0133       SET     252    -0.087244    -0.010249      0.06022      0.92629
F1_NULL_0134       SET     252    -0.017364   -0.0020399     0.060419      0.61309
F1_NULL_0135       SET     252      0.03947    0.0046368     0.062275      0.26311
F1_NULL_0136       SET     252    -0.068656   -0.0080655     0.062068      0.86566
F1_NULL_0137       SET     252    -0.022632   -0.0026588     0.059697       0.6477
F1_NULL_0138       SET     252    -0.064596   -0.0075885     0.060217      0.85829
F1_NULL_0139       SET     252    -0.024632   -0.0028937      0.06003      0.65921
F1_NULL_0140       SET     252     0.056039    0.0065833     0.059988      0.17511
F1_NULL_0141       SET     252    -0.027797   -0.0032655     0.061751      0.67369
F1_NULL_0142       SET     252     0.020896    0.0024548     0.061109       0.3662
F1_NULL_0143       SET     252     0.032574    0.0038267     0.060171      0.29413
F1_NULL_0144       SET     252     -0.04123   -0.0048436     0.059633      0.75534
F1_NULL_0145       SET     252    -0.087215    -0.010246     0.059982      0.92702
F1_NULL_0146       SET     252    0.0058227   0.00068404     0.061304      0.46217
F1_NULL_0147       SET     252    0.0026136   0.00030704      0.05928      0.48242
F1_NULL_0148       SET     252      0.14251     0.016742     0.060845    0.0095903
F1_NULL_0149       SET     252    -0.056261   -0.0066094     0.060692      0.82303
F1_NULL_0150       SET     252     0.027202    0.0031957     0.061019      0.32787
F1_NULL_0151       SET     252     -0.11698    -0.013743     0.064174      0.96583
F1_NULL_0152       SET     252    0.0048086    0.0005649     0.062213       0.4692
F1_NULL_0153       SET     252    -0.011608   -0.0013637     0.061632       0.5747
F1_NULL_0154       SET     252    -0.039399   -0.0046285     0.062066      0.73722
F1_NULL_0155       SET     252    -0.053062   -0.0062336     0.061254      0.80682
F1_NULL_0156       SET     252    -0.010696   -0.0012566     0.061186      0.56939
F1_NULL_0157       SET     252    -0.038879   -0.0045674     0.062772      0.73216
F1_NULL_0158       SET     252    -0.059612   -0.0070031     0.060002      0.83976
F1_NULL_0159       SET     252     0.082877    0.0097362     0.061699     0.089604
F1_NULL_0160       SET     252      0.11655     0.013692     0.060586     0.027207
F1_NULL_0161       SET     252    0.0022619   0.00026573     0.060894      0.48518
F1_NULL_0162       SET     252     0.031206     0.003666     0.061502      0.30594
F1_NULL_0163       SET     252    -0.029239   -0.0034349     0.061713      0.68217
F1_NULL_0164       SET     252    -0.040167   -0.0047188     0.060054       0.7482
F1_NULL_0165       SET     252     0.080145    0.0094153     0.059219     0.087977
F1_NULL_0166       SET     252     0.094897     0.011148     0.058356     0.051967
F1_NULL_0167       SET     252    -0.073802     -0.00867     0.063256      0.87833
F1_NULL_0168       SET     252    -0.085407    -0.010033     0.060788      0.91998
F1_NULL_0169       SET     252     0.031165    0.0036612     0.063063      0.31059
F1_NULL_0170       SET     252    -0.071394   -0.0083872     0.060834      0.87971
F1_NULL_0171       SET     252      0.04049    0.0047567     0.062171      0.25744
F1_NULL_0172       SET     252    -0.049656   -0.0058335      0.06249      0.78658
F1_NULL_0173       SET     252     0.038882    0.0045678     0.062354      0.26646
F1_NULL_0174       SET     252    0.0064289   0.00075525     0.062053      0.45874
F1_NULL_0175       SET     252    0.0031364   0.00036846     0.061085      0.47953
F1_NULL_0176       SET     252   -0.0011006  -0.00012929     0.063505      0.50691
F1_NULL_0177       SET     252    -0.025278   -0.0029696     0.062477      0.65711
F1_NULL_0178       SET     252     0.042745    0.0050216     0.060934       0.2415
F1_NULL_0179       SET     252      0.10529      0.01237     0.061621     0.043759
F1_NULL_0180       SET     252     0.025258    0.0029673      0.06079      0.33889
F1_NULL_0181       SET     252    -0.051459   -0.0060453     0.061141          0.8
F1_NULL_0182       SET     252     0.038916    0.0045718     0.062109      0.26547
F1_NULL_0183       SET     252    -0.011499   -0.0013509     0.061652      0.57398
F1_NULL_0184       SET     252    -0.030509   -0.0035842     0.061139      0.69111
F1_NULL_0185       SET     252    -0.083903   -0.0098567     0.059371      0.92119
F1_NULL_0186       SET     252      0.12617     0.014823     0.060117     0.017925
F1_NULL_0187       SET     252    0.0081526   0.00095774     0.061541      0.44731
F1_NULL_0188       SET     252     0.030004    0.0035248     0.063102      0.31722
F1_NULL_0189       SET     252    -0.027817   -0.0032679     0.060324      0.67764
F1_NULL_0190       SET     252    -0.024194   -0.0028422     0.060644      0.65503
F1_NULL_0191       SET     252    -0.036835   -0.0043273     0.061734      0.72463
F1_NULL_0192       SET     252      0.02133    0.0025058     0.062048      0.36551
F1_NULL_0193       SET     252     0.058396    0.0068602     0.060952      0.16902
F1_NULL_0194       SET     252    -0.091727    -0.010776     0.061885      0.93085
F1_NULL_0195       SET     252     0.052647    0.0061849     0.062137      0.19843
F1_NULL_0196       SET     252     0.074212    0.0087182     0.060339      0.10937
F1_NULL_0197       SET     252    -0.012162   -0.0014287     0.061696      0.57813
F1_NULL_0198       SET     252    -0.018861   -0.0022157     0.061569      0.62032
F1_NULL_0199       SET     252     0.079712    0.0093643     0.061763     0.098428
F1_NULL_0200       SET     252     0.020172    0.0023697     0.061037      0.37052
F1_NULL_0201       SET     252     0.060394    0.0070949     0.059689      0.15582
F1_NULL_0202       SET     252     0.043027    0.0050547     0.062687      0.24624
F1_NULL_0203       SET     252    -0.057911   -0.0068032     0.062297       0.8237
F1_NULL_0204       SET     252     0.062368    0.0073268     0.062928      0.16083
F1_NULL_0205       SET     252    -0.021175   -0.0024876     0.061461      0.63477
F1_NULL_0206       SET     252    -0.011231   -0.0013194     0.060481      0.57365
F1_NULL_0207       SET     252    -0.062772   -0.0073743      0.06155      0.84609
F1_NULL_0208       SET     252     0.079201    0.0093043     0.061251     0.098004
F1_NULL_0209       SET     252    0.0039789   0.00046743     0.060621      0.47383
F1_NULL_0210       SET     252     0.005043   0.00059244     0.061022      0.46707
F1_NULL_0211       SET     252    -0.081668   -0.0095942     0.064078      0.89875
F1_NULL_0212       SET     252     0.031632    0.0037161      0.06116      0.30251
F1_NULL_0213       SET     252     0.007417   0.00087134     0.062207      0.45255
F1_NULL_0214       SET     252     0.020113    0.0023629     0.060837      0.37047
F1_NULL_0215       SET     252    -0.078188   -0.0091853       0.0627       0.8938
F1_NULL_0216       SET     252    -0.072004   -0.0084588     0.060992       0.8811
F1_NULL_0217       SET     252    -0.031296   -0.0036766     0.062285      0.69233
F1_NULL_0218       SET     252    -0.017405   -0.0020447     0.059892      0.61432
F1_NULL_0219       SET     252     -0.12791    -0.015026     0.061839      0.98069
F1_NULL_0220       SET     252   -0.0091302   -0.0010726     0.060954      0.55953
F1_NULL_0221       SET     252    0.0053897   0.00063316     0.059877      0.46414
F1_NULL_0222       SET     252   -0.0018366  -0.00021575     0.061868      0.51184
F1_NULL_0223       SET     252     0.026576    0.0031221     0.062347      0.33496
F1_NULL_0224       SET     252     0.023439    0.0027536     0.062019      0.35274
F1_NULL_0225       SET     252     0.043303    0.0050871     0.059136      0.23201
F1_NULL_0226       SET     252    -0.096665    -0.011356     0.062038      0.94039
