# MEAN_SAMPLE_SIZE = 82975
# TOTAL_GENES = 18005
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE          TYPE  NGENES         BETA     BETA_STD           SE            P
F1_NULL_0976       SET     252     0.028786    0.0033817     0.061558      0.32003
F1_NULL_0977       SET     252     -0.13838    -0.016257     0.061441      0.98784
F1_NULL_0978       SET     252     0.052262    0.0061396     0.061932      0.19938
F1_NULL_0979       SET     252    0.0046554    0.0005469     0.062466       0.4703
F1_NULL_0980       SET     252     0.054532    0.0064063     0.060761      0.18474
F1_NULL_0981       SET     252    -0.042887   -0.0050382     0.060649      0.76025
F1_NULL_0982       SET     252    -0.076069   -0.0089364     0.060617      0.89524
F1_NULL_0983       SET     252     0.042525    0.0049957     0.060124       0.2397
F1_NULL_0984       SET     252     -0.06344   -0.0074527     0.061197      0.85004
F1_NULL_0985       SET     252    -0.040192   -0.0047217     0.060139      0.74803
F1_NULL_0986       SET     252     0.097906     0.011502     0.060462       0.0527
F1_NULL_0987       SET     252     0.069902    0.0082119     0.062892      0.13319
F1_NULL_0988       SET     252    -0.010322   -0.0012126     0.063048      0.56502
F1_NULL_0989       SET     252     0.091053     0.010697     0.063053     0.074371
F1_NULL_0990       SET     252     0.067378    0.0079154     0.059056      0.12696
F1_NULL_0991       SET     252     0.016485    0.0019367     0.061239      0.39389
F1_NULL_0992       SET     252    -0.040389   -0.0047448     0.060758      0.74689
F1_NULL_0993       SET     252     0.038367    0.0045072     0.060867      0.26424
F1_NULL_0994       SET     252     -0.10438    -0.012262     0.062079      0.95364
F1_NULL_0995       SET     252   -0.0073092  -0.00085867     0.061273      0.54748
F1_NULL_0996       SET     252    -0.042373   -0.0049779     0.063756      0.74685
F1_NULL_0997       SET     252     0.033378    0.0039212     0.062875      0.29776
F1_NULL_0998       SET     252    -0.026519   -0.0031154     0.061808      0.66605
F1_NULL_0999       SET     252     0.058856    0.0069143     0.060322      0.16461
F1_NULL_1000       SET     252   -0.0025657  -0.00030142     0.064103      0.51596
F1_NULL_1001       SET     252    -0.037713   -0.0044304     0.061711      0.72944
F1_NULL_1002       SET     252    -0.073015   -0.0085776     0.061499      0.88243
F1_NULL_1003       SET     252     0.039545    0.0046457     0.060319      0.25604
F1_NULL_1004       SET     252    -0.021401   -0.0025142     0.059291      0.64093
F1_NULL_1005       SET     252    -0.056577   -0.0066465     0.060387      0.82559
F1_NULL_1006       SET     252    0.0092792    0.0010901     0.059864      0.43841
F1_NULL_1007       SET     252     0.067555    0.0079362     0.063713      0.14451
F1_NULL_1008       SET     252     -0.11441    -0.013441      0.06017      0.97137
F1_NULL_1009       SET     252     0.023382    0.0027469     0.062364      0.35386
F1_NULL_1010       SET     252    0.0010681   0.00012548     0.059676      0.49286
F1_NULL_1011       SET     252    -0.099236    -0.011658     0.060874      0.94846
F1_NULL_1012       SET     252     0.011724    0.0013773     0.061404      0.42429
F1_NULL_1013       SET     252    -0.011934    -0.001402     0.061625      0.57678
F1_NULL_1014       SET     252     0.024529    0.0028816     0.060914       0.3436
F1_NULL_1015       SET     252    -0.092018     -0.01081      0.06065      0.93538
F1_NULL_1016       SET     252    -0.059702   -0.0070137      0.05902      0.84412
F1_NULL_1017       SET     252     0.007228   0.00084913     0.060324      0.45231
F1_NULL_1018       SET     252     0.015878    0.0018653     0.060311      0.39617
F1_NULL_1019       SET     252     0.012632     0.001484     0.060996      0.41797
F1_NULL_1020       SET     252     0.031376     0.003686     0.059476      0.29891
F1_NULL_1021       SET     252     0.070227    0.0082501     0.062645      0.13114
F1_NULL_1022       SET     252      0.13066     0.015349     0.061019     0.016134
F1_NULL_1023       SET     252    -0.082355   -0.0096749     0.061788       0.9087
F1_NULL_1024       SET     252    0.0094565    0.0011109     0.063659      0.44096
F1_NULL_1025       SET     252     0.093334     0.010965     0.061156     0.063494
F1_NULL_1026       SET     252     0.016625    0.0019531     0.061116       0.3928
F1_NULL_1027       SET     252     0.037661    0.0044243     0.060814      0.26787
F1_NULL_1028       SET     252     0.017088    0.0020075     0.061999      0.39142
F1_NULL_1029       SET     252     -0.11867    -0.013941     0.060627      0.97484
F1_NULL_1030       SET     252     0.002121   0.00024917      0.05986      0.48587
F1_NULL_1031       SET     252    -0.046948   -0.0055153     0.059592      0.78459
F1_NULL_1032       SET     252     0.096804     0.011372     0.062971     0.062123
F1_NULL_1033       SET     252    -0.046236   -0.0054316     0.060198      0.77877
F1_NULL_1034       SET     252    -0.022124    -0.002599     0.059502      0.64498
F1_NULL_1035       SET     252     0.074368    0.0087366     0.060318      0.10881
F1_NULL_1036       SET     252    -0.099358    -0.011672     0.061734      0.94623
F1_NULL_1037       SET     252     0.033871    0.0039791     0.059362      0.28415
F1_NULL_1038       SET     252    -0.044219   -0.0051948      0.05919      0.77249
F1_NULL_1039       SET     252   -0.0031431  -0.00036925     0.065191      0.51923
F1_NULL_1040       SET     252    -0.016759   -0.0019688     0.062366      0.60592
F1_NULL_1041       SET     252    -0.048812   -0.0057343     0.063364      0.77945
F1_NULL_1042       SET     252    -0.048608   -0.0057103      0.06346      0.77815
F1_NULL_1043       SET     252      -0.1076    -0.012641     0.061003      0.96111
F1_NULL_1044       SET     252     0.034125    0.0040089     0.060705      0.28702
F1_NULL_1045       SET     252    -0.040898   -0.0048046     0.062306      0.74422
F1_NULL_1046       SET     252    -0.013046   -0.0015326     0.060311      0.58563
F1_NULL_1047       SET     252    0.0023629   0.00027759     0.060059      0.48431
F1_NULL_1048       SET     252    -0.013103   -0.0015394     0.060936      0.58513
F1_NULL_1049       SET     252      0.12394      0.01456     0.060078     0.019569
F1_NULL_1050       SET     252   -0.0027657  -0.00032491     0.062256      0.51772
F1_NULL_1051       SET     252      0.15275     0.017944     0.061247    0.0063206
F1_NULL_1052       SET     252    -0.083715   -0.0098346     0.061329      0.91387
F1_NULL_1053       SET     252    -0.023863   -0.0028034     0.060241      0.65399
F1_NULL_1054       SET     252     0.059803    0.0070255     0.061126      0.16396
F1_NULL_1055       SET     252   -0.0062061  -0.00072908     0.060556      0.54081
F1_NULL_1056       SET     252    -0.031337   -0.0036814     0.060998      0.69628
F1_NULL_1057       SET     252     0.030373    0.0035682     0.062226      0.31274
F1_NULL_1058       SET     252    -0.052644   -0.0061845     0.060454      0.80807
F1_NULL_1059       SET     252     0.044354    0.0052106     0.062973      0.24062
F1_NULL_1060       SET     252     0.020541    0.0024131     0.062083      0.37038
F1_NULL_1061       SET     252    -0.071903    -0.008447     0.060831      0.88139
F1_NULL_1062       SET     252     0.058605    0.0068848     0.060225      0.16526
F1_NULL_1063       SET     252     0.020553    0.0024145     0.062446      0.37103
F1_NULL_1064       SET     252      0.04549    0.0053441     0.061923      0.23129
F1_NULL_1065       SET     252   -0.0098872   -0.0011615     0.061585      0.56377
F1_NULL_1066       SET     252    -0.085211     -0.01001     0.061923      0.91559
F1_NULL_1067       SET     252     -0.03822     -0.00449     0.062239      0.73041
F1_NULL_1068       SET     252    -0.077072   -0.0090542     0.061987      0.89312
F1_NULL_1069       SET     252    -0.049345   -0.0057969     0.061128      0.79023
F1_NULL_1070       SET     252    -0.038337   -0.0045037      0.06189      0.73218
F1_NULL_1071       SET     252     0.044659    0.0052464     0.061929      0.23542
F1_NULL_1072       SET     252     0.018812    0.0022099      0.06228      0.38131
F1_NULL_1073       SET     252    -0.033635   -0.0039514     0.062636      0.70436
F1_NULL_1074       SET     252      0.12047     0.014153     0.062905     0.027743
F1_NULL_1075       SET     252     0.030793    0.0036175     0.061902      0.30944
F1_NULL_1076       SET     252      0.12778     0.015012     0.058964     0.015118
F1_NULL_1077       SET     252    0.0039312   0.00046183     0.061063      0.47433
F1_NULL_1078       SET     252      0.07217    0.0084784     0.062337      0.12349
F1_NULL_1079       SET     252      0.10849     0.012746     0.062399     0.041053
F1_NULL_1080       SET     252     -0.04493   -0.0052783     0.059853      0.77357
F1_NULL_1081       SET     252      0.02421    0.0028442     0.062981      0.35034
F1_NULL_1082       SET     252     0.017291    0.0020313     0.061415      0.38915
F1_NULL_1083       SET     252    -0.045712   -0.0053702     0.061966      0.76965
F1_NULL_1084       SET     252     0.020021     0.002352     0.061943      0.37327
F1_NULL_1085       SET     252    -0.056205   -0.0066029     0.061679      0.81891
F1_NULL_1086       SET     252    -0.023507   -0.0027615     0.060149      0.65203
F1_NULL_1087       SET     252     -0.08946     -0.01051     0.062011      0.92543
F1_NULL_1088       SET     252    -0.070434   -0.0082744     0.060989      0.87592
F1_NULL_1089       SET     252     0.015725    0.0018473     0.063327      0.40195
F1_NULL_1090       SET     252      0.14235     0.016723     0.062058     0.010905
F1_NULL_1091       SET     252    -0.016269   -0.0019113     0.061052      0.60506
F1_NULL_1092       SET     252    -0.048567   -0.0057056     0.063313      0.77848
F1_NULL_1093       SET     252    0.0073124   0.00085905     0.059722      0.45128
F1_NULL_1094       SET     252     0.024754    0.0029081     0.061017      0.34248
F1_NULL_1095       SET     252     0.065718    0.0077204     0.063517      0.15042
F1_NULL_1096       SET     252   -0.0071498  -0.00083995     0.061708      0.54612
F1_NULL_1097       SET     252      0.08906     0.010463     0.062723     0.077831
F1_NULL_1098       SET     252      0.06208     0.007293     0.062092      0.15871
F1_NULL_1099       SET     252     0.082948    0.0097445     0.062752     0.093119
F1_NULL_1100       SET     252    -0.060432   -0.0070994     0.063026      0.83117
F1_NULL_1101       SET     252     0.033612    0.0039487     0.064094          0.3
F1_NULL_1102       SET     252     0.029406    0.0034546     0.063273      0.32106
F1_NULL_1103       SET     252    -0.062069   -0.0072918     0.061762      0.84254
F1_NULL_1104       SET     252      0.03746    0.0044007     0.061502      0.27124
F1_NULL_1105       SET     252     -0.06474   -0.0076055     0.061137      0.85518
F1_NULL_1106       SET     252    -0.051905   -0.0060977     0.061876      0.79922
F1_NULL_1107       SET     252   -0.0082105  -0.00096455     0.058806      0.55552
F1_NULL_1108       SET     252     0.052967    0.0062224     0.062814      0.19955
F1_NULL_1109       SET     252     0.080182    0.0094195     0.061168     0.094966
F1_NULL_1110       SET     252      0.13011     0.015284     0.060246     0.015409
F1_NULL_1111       SET     252    -0.032989   -0.0038755     0.060831      0.70619
F1_NULL_1112       SET     252    -0.053213   -0.0062514     0.059586      0.81408
F1_NULL_1113       SET     252    -0.021188   -0.0024891     0.060911      0.63602
F1_NULL_1114       SET     252   0.00038893    4.569e-05     0.061573      0.49748
F1_NULL_1115       SET     252     0.058648    0.0068898     0.063046      0.17613
F1_NULL_1116       SET     252     0.016137    0.0018958     0.060477       0.3948
F1_NULL_1117       SET     252     -0.06236   -0.0073259     0.060127      0.85016
F1_NULL_1118       SET     252    0.0069214   0.00081311     0.060755      0.45465
F1_NULL_1119       SET     252    -0.040537   -0.0047621     0.059726      0.75133
F1_NULL_1120       SET     252     0.048248     0.005668     0.060853      0.21394
F1_NULL_1121       SET     252     0.028529    0.0033515     0.060768      0.31937
F1_NULL_1122       SET     252     0.065668    0.0077145     0.063235      0.14954
F1_NULL_1123       SET     252    0.0052922   0.00062171     0.059453      0.46454
F1_NULL_1124       SET     252    -0.014709   -0.0017279     0.059808      0.59713
F1_NULL_1125       SET     252    -0.091633    -0.010765     0.060841      0.93397
F1_NULL_1126       SET     252    -0.053908   -0.0063329     0.061732      0.80873
F1_NULL_1127       SET     252      0.06995    0.0082176     0.062084      0.12994
F1_NULL_1128       SET     252    0.0024282   0.00028526     0.061184      0.48417
F1_NULL_1129       SET     252     0.050396    0.0059205     0.061494      0.20625
F1_NULL_1130       SET     252     -0.10544    -0.012387     0.060903      0.95829
F1_NULL_1131       SET     252    -0.045967   -0.0054001     0.059062      0.78179
F1_NULL_1132       SET     252      0.12699     0.014918     0.060725     0.018261
F1_NULL_1133       SET     252    0.0080654   0.00094751     0.060308      0.44681
F1_NULL_1134       SET     252     -0.10647    -0.012508     0.062573      0.95557
F1_NULL_1135       SET     252    -0.056315   -0.0066158     0.062044      0.81797
F1_NULL_1136       SET     252    -0.054095    -0.006355     0.060801      0.81319
F1_NULL_1137       SET     252     0.081151    0.0095335     0.062159     0.095863
F1_NULL_1138       SET     252     0.067273    0.0079031     0.059975      0.13101
F1_NULL_1139       SET     252     -0.05792   -0.0068043     0.060994      0.82883
F1_NULL_1140       SET     252     0.077103    0.0090579     0.059174     0.096299
F1_NULL_1141       SET     252     0.022987    0.0027004     0.062216      0.35589
F1_NULL_1142       SET     252    -0.017778   -0.0020885     0.063118       0.6109
F1_NULL_1143       SET     252    -0.055437   -0.0065126     0.061895      0.81477
F1_NULL_1144       SET     252    -0.074288   -0.0087272     0.059809      0.89289
F1_NULL_1145       SET     252      0.05083    0.0059714     0.060927      0.20207
F1_NULL_1146       SET     252     0.084367    0.0099113     0.062479     0.088462
F1_NULL_1147       SET     252     0.049347    0.0057972     0.063211       0.2175
F1_NULL_1148       SET     252    -0.061433    -0.007217     0.061917      0.83944
F1_NULL_1149       SET     252    -0.030408   -0.0035723     0.059939      0.69403
F1_NULL_1150       SET     252    -0.035509   -0.0041715     0.061028      0.71966
F1_NULL_1151       SET     252     0.043492    0.0051093     0.061274      0.23892
F1_NULL_1152       SET     252  -0.00059461  -6.9853e-05     0.061697      0.50384
F1_NULL_1153       SET     252    -0.043136   -0.0050675     0.061956      0.75685
F1_NULL_1154       SET     252      0.02651    0.0031144     0.060537      0.33072
F1_NULL_1155       SET     252      0.10168     0.011945     0.060714     0.047007
F1_NULL_1156       SET     252     -0.21431    -0.025176     0.062872      0.99967
F1_NULL_1157       SET     252     0.057228     0.006723     0.063094      0.18221
F1_NULL_1158       SET     252    -0.065884   -0.0077398     0.060328      0.86259
F1_NULL_1159       SET     252    -0.037354   -0.0043882     0.060891      0.73021
F1_NULL_1160       SET     252   -0.0088875   -0.0010441     0.060087      0.55879
F1_NULL_1161       SET     252    -0.042018   -0.0049362     0.061557      0.75256
F1_NULL_1162       SET     252    -0.099208    -0.011655     0.060705      0.94889
F1_NULL_1163       SET     252    -0.087063    -0.010228     0.060808      0.92389
F1_NULL_1164       SET     252      0.01199    0.0014085      0.06196      0.42328
F1_NULL_1165       SET     252   -0.0048697  -0.00057208     0.061041      0.53179
F1_NULL_1166       SET     252    -0.051147   -0.0060086     0.062158       0.7947
F1_NULL_1167       SET     252    -0.022463    -0.002639     0.060838      0.64402
F1_NULL_1168       SET     252     0.058406    0.0068614     0.059067      0.16139
F1_NULL_1169       SET     252     0.065994    0.0077528     0.060512      0.13773
F1_NULL_1170       SET     252    -0.036949   -0.0043407     0.061242      0.72685
F1_NULL_1171       SET     252    -0.067133   -0.0078866     0.062442      0.85883
F1_NULL_1172       SET     252    0.0021714   0.00025509     0.061261      0.48586
F1_NULL_1173       SET     252     0.010173    0.0011951     0.060245      0.43295
F1_NULL_1174       SET     252     0.071063    0.0083483     0.061495      0.12393
F1_NULL_1175       SET     252     0.068465    0.0080431     0.061649      0.13338
F1_NULL_1176       SET     252    -0.072626    -0.008532     0.061059      0.88286
F1_NULL_1177       SET     252     0.028426    0.0033395     0.060208      0.31842
F1_NULL_1178       SET     252    -0.060497    -0.007107     0.065075      0.82371
F1_NULL_1179       SET     252     0.038205    0.0044883     0.061498      0.26722
F1_NULL_1180       SET     252    -0.090685    -0.010653     0.061942       0.9284
F1_NULL_1181       SET     252     0.087948     0.010332     0.062289     0.078994
F1_NULL_1182       SET     252    -0.018144   -0.0021315     0.061282      0.61641
F1_NULL_1183       SET     252     0.051079    0.0060007     0.061832      0.20438
F1_NULL_1184       SET     252     0.088019      0.01034      0.06144     0.075996
F1_NULL_1185       SET     252   -0.0072259  -0.00084888     0.059841      0.54805
F1_NULL_1186       SET     252     0.007359   0.00086452     0.061365      0.45227
F1_NULL_1187       SET     252      -0.0959    -0.011266     0.062337      0.93802
F1_NULL_1188       SET     252     -0.05658   -0.0066469     0.061204      0.82237
F1_NULL_1189       SET     252    -0.013882   -0.0016308     0.062214      0.58828
F1_NULL_1190       SET     252    -0.065056   -0.0076427     0.059082      0.86457
F1_NULL_1191       SET     252    -0.021778   -0.0025584     0.060857      0.63977
F1_NULL_1192       SET     252    0.0014758   0.00017338     0.059995      0.49019
F1_NULL_1193       SET     252    -0.040183   -0.0047206     0.060074      0.74821
F1_NULL_1194       SET     252     0.092066     0.010816     0.060011     0.062506
F1_NULL_1195       SET     252    -0.059873   -0.0070337     0.060659      0.83818
F1_NULL_1196       SET     252    -0.082761   -0.0097225      0.06039      0.91472
F1_NULL_1197       SET     252     0.069548    0.0081704     0.060742      0.12612
F1_NULL_1198       SET     252    -0.022082   -0.0025942     0.060029      0.64351
F1_NULL_1199       SET     252     0.075159    0.0088295     0.061831      0.11209
F1_NULL_1200       SET     252     -0.14237    -0.016725      0.06104      0.99015
F1_NULL_1201       SET     252     0.025792      0.00303     0.062762      0.34056
F1_NULL_1202       SET     252     0.051023    0.0059941     0.061076      0.20175
F1_NULL_1203       SET     252    -0.056895   -0.0066839     0.059346      0.83114
F1_NULL_1204       SET     252     0.026541     0.003118     0.059936      0.32895
F1_NULL_1205       SET     252     0.021737    0.0025536     0.060598      0.35991
F1_NULL_1206       SET     252      -0.1061    -0.012465     0.061756      0.95711
F1_NULL_1207       SET     252    -0.028774   -0.0033804     0.059518      0.68561
F1_NULL_1208       SET     252     0.037982    0.0044621     0.061864      0.26962
F1_NULL_1209       SET     252     0.058162    0.0068327      0.06198      0.17403
F1_NULL_1210       SET     252     -0.12065    -0.014174      0.06238      0.97344
F1_NULL_1211       SET     252    -0.042798   -0.0050278     0.059891      0.76257
F1_NULL_1212       SET     252    -0.067585   -0.0079397     0.060511      0.86797
F1_NULL_1213       SET     252    -0.039296   -0.0046165     0.060939      0.74048
F1_NULL_1214       SET     252     0.077464    0.0091003     0.060517      0.10028
F1_NULL_1215       SET     252     0.021749     0.002555     0.060951      0.36062
F1_NULL_1216       SET     252    -0.029577   -0.0034746     0.062018      0.68328
F1_NULL_1217       SET     252     0.030509    0.0035841     0.060424      0.30681
F1_NULL_1218       SET     252   -0.0085825   -0.0010083     0.062836      0.55432
F1_NULL_1219       SET     252     0.023214    0.0027271     0.059568      0.34838
F1_NULL_1220       SET     252     0.039919    0.0046896     0.062033      0.25995
F1_NULL_1221       SET     252   -0.0077002   -0.0009046     0.059891      0.55115
F1_NULL_1222       SET     252    -0.049613   -0.0058284     0.060066      0.79558
F1_NULL_1223       SET     252    -0.051044   -0.0059965     0.061189      0.79791
F1_NULL_1224       SET     252     0.086088     0.010113     0.062369     0.083753
F1_NULL_1225       SET     252     0.039484    0.0046385     0.062526      0.26387
F1_NULL_1226       SET     252     -0.11994     -0.01409     0.062903      0.97171
F1_NULL_1227       SET     252     0.022355    0.0026263     0.060199      0.35519
F1_NULL_1228       SET     252    -0.057582   -0.0067646     0.061442      0.82566
F1_NULL_1229       SET     252    -0.042399   -0.0049809     0.060175      0.75946
F1_NULL_1230       SET     252   -0.0021557  -0.00025324     0.063919      0.51345
F1_NULL_1231       SET     252     0.082979    0.0097482      0.06094     0.086665
F1_NULL_1232       SET     252     0.055637    0.0065361     0.059445      0.17466
F1_NULL_1233       SET     252      0.12649     0.014859     0.061821     0.020385
F1_NULL_1234       SET     252    -0.034398    -0.004041     0.063245      0.70674
F1_NULL_1235       SET     252     0.073788    0.0086684     0.060822      0.11254
F1_NULL_1236       SET     252    -0.069625   -0.0081794     0.061827      0.86993
F1_NULL_1237       SET     252    0.0049259   0.00057868     0.061871      0.46827
F1_NULL_1238       SET     252     0.032146    0.0037764     0.061066       0.2993
F1_NULL_1239       SET     252    0.0051598   0.00060616     0.060877      0.46623
F1_NULL_1240       SET     252     0.052049    0.0061146     0.061373       0.1982
F1_NULL_1241       SET     252   0.00091155   0.00010709     0.061049      0.49404
F1_NULL_1242       SET     252    -0.038286   -0.0044978     0.062213      0.73085
F1_NULL_1243       SET     252    -0.056405   -0.0066263     0.060997      0.82244
F1_NULL_1244       SET     252     0.009278      0.00109     0.061728      0.44026
F1_NULL_1245       SET     252      -0.0851   -0.0099974     0.061084       0.9182
F1_NULL_1246       SET     252    -0.043695   -0.0051332     0.062086      0.75921
F1_NULL_1247       SET     252     0.027426    0.0032219     0.061618      0.32813
F1_NULL_1248       SET     252     0.049163    0.0057755     0.062119      0.21435
F1_NULL_1249       SET     252    -0.010269   -0.0012064     0.059437      0.56858
F1_NULL_1250       SET     252     0.029124    0.0034214      0.05908      0.31102
F1_NULL_1251       SET     252     0.013021    0.0015297     0.059318      0.41313
F1_NULL_1252       SET     252      0.11199     0.013157     0.061127     0.033475
F1_NULL_1253       SET     252     -0.10985    -0.012905     0.060018      0.96639
F1_NULL_1254       SET     252    -0.057813   -0.0067917      0.06304      0.82044
F1_NULL_1255       SET     252     0.048277    0.0056715     0.060092      0.21088
F1_NULL_1256       SET     252    -0.053841   -0.0063251     0.062105        0.807
F1_NULL_1257       SET     252    -0.055687   -0.0065419     0.061271      0.81828
F1_NULL_1258       SET     252    -0.030472   -0.0035798     0.061186      0.69076
F1_NULL_1259       SET     252    -0.043304   -0.0050872      0.06293      0.75431
F1_NULL_1260       SET     252    -0.057648   -0.0067723      0.06283      0.82056
F1_NULL_1261       SET     252     0.037381    0.0043914     0.060962      0.26988
F1_NULL_1262       SET     252    -0.017519   -0.0020581     0.061222      0.61262
F1_NULL_1263       SET     252   -0.0052928  -0.00062179     0.061932      0.53405
F1_NULL_1264       SET     252    -0.026826   -0.0031514     0.060076      0.67239
F1_NULL_1265       SET     252      0.02988    0.0035102     0.061905      0.31467
F1_NULL_1266       SET     252     0.050934    0.0059836     0.061269       0.2029
F1_NULL_1267       SET     252      0.02781    0.0032671     0.061612      0.32586
F1_NULL_1268       SET     252     0.084603     0.009939     0.060433     0.080774
F1_NULL_1269       SET     252     0.015283    0.0017955     0.061142      0.40131
F1_NULL_1270       SET     252     -0.12556    -0.014751     0.060567      0.98091
F1_NULL_1271       SET     252   -0.0081819  -0.00096119     0.060859      0.55347
F1_NULL_1272       SET     252     0.085329     0.010024     0.061358     0.082171
F1_NULL_1273       SET     252     0.035634    0.0041862     0.060849      0.27907
F1_NULL_1274       SET     252    -0.020219   -0.0023753     0.061205      0.62943
F1_NULL_1275       SET     252    0.0096612     0.001135     0.060175      0.43622
F1_NULL_1276       SET     252    -0.059362   -0.0069737     0.061686      0.83205
F1_NULL_1277       SET     252     0.013977     0.001642     0.060461      0.40859
F1_NULL_1278       SET     252     0.039403    0.0046289     0.062116      0.26293
F1_NULL_1279       SET     252    -0.036951   -0.0043409     0.062042      0.72427
F1_NULL_1280       SET     252   -0.0097565   -0.0011462     0.061245      0.56328
F1_NULL_1281       SET     252     0.049505    0.0058157     0.061885      0.21187
F1_NULL_1282       SET     252    -0.029459   -0.0034608      0.06048       0.6869
F1_NULL_1283       SET     252      -0.1006    -0.011819     0.060037      0.95309
F1_NULL_1284       SET     252    0.0012239   0.00014379     0.062233      0.49215
F1_NULL_1285       SET     252     -0.18384    -0.021597     0.061522       0.9986
F1_NULL_1286       SET     252     0.070541    0.0082869     0.060185       0.1206
F1_NULL_1287       SET     252     -0.02867   -0.0033681     0.060151      0.68319
F1_NULL_1288       SET     252    -0.083546   -0.0098148     0.060015      0.91804
F1_NULL_1289       SET     252    -0.019091   -0.0022428     0.060129      0.62457
F1_NULL_1290       SET     252    -0.017287   -0.0020309     0.059901      0.61355
F1_NULL_1291       SET     252     -0.05116   -0.0060102     0.063171      0.79099
F1_NULL_1292       SET     252    -0.023878   -0.0028051     0.061045      0.65216
F1_NULL_1293       SET     252     -0.10071    -0.011832     0.061111      0.95032
F1_NULL_1294       SET     252     0.058009    0.0068147     0.061708       0.1736
F1_NULL_1295       SET     252    -0.031356   -0.0036836     0.062325      0.69255
F1_NULL_1296       SET     252      0.05745    0.0067491     0.061114       0.1736
F1_NULL_1297       SET     252     0.050423    0.0059236     0.061579      0.20645
F1_NULL_1298       SET     252     0.087771     0.010311     0.060644     0.073914
F1_NULL_1299       SET     252      0.01332    0.0015648     0.062674      0.41585
F1_NULL_1300       SET     252     0.059739     0.007018      0.05948      0.15761
F1_NULL_1301       SET     252    -0.076937   -0.0090384     0.061246      0.89547
F1_NULL_1302       SET     252     0.032448    0.0038119     0.059696      0.29338
F1_NULL_1303       SET     252    -0.038122   -0.0044784     0.061491      0.73235
F1_NULL_1304       SET     252    -0.014777   -0.0017359     0.060076      0.59714
F1_NULL_1305       SET     252     0.025461    0.0029911     0.060906      0.33796
F1_NULL_1306       SET     252     0.034009    0.0039953     0.062589      0.29344
F1_NULL_1307       SET     252    0.0087289    0.0010255     0.061432       0.4435
F1_NULL_1308       SET     252     0.014551    0.0017095     0.060662      0.40521
F1_NULL_1309       SET     252    -0.023101   -0.0027139     0.063532      0.64193
F1_NULL_1310       SET     252    -0.024666   -0.0028977     0.060223      0.65894
F1_NULL_1311       SET     252    -0.067958   -0.0079836      0.06107      0.86709
F1_NULL_1312       SET     252    0.0077611   0.00091175     0.060651      0.44909
F1_NULL_1313       SET     252     0.035212    0.0041366     0.060805      0.28127
F1_NULL_1314       SET     252    -0.053575   -0.0062939      0.05997      0.81416
F1_NULL_1315       SET     252    -0.073307    -0.008612     0.062124      0.88099
F1_NULL_1316       SET     252    -0.028827   -0.0033866      0.05912      0.68708
F1_NULL_1317       SET     252     0.025729    0.0030226     0.062507      0.34031
F1_NULL_1318       SET     252    -0.044645   -0.0052448     0.062004      0.76424
F1_NULL_1319       SET     252   -0.0035685  -0.00041922     0.060437      0.52354
F1_NULL_1320       SET     252     0.072425    0.0085084     0.061298       0.1187
F1_NULL_1321       SET     252     0.033784    0.0039688     0.061053      0.29002
F1_NULL_1322       SET     252     0.050998    0.0059911     0.061536      0.20363
F1_NULL_1323       SET     252    -0.014538   -0.0017079     0.060784      0.59452
F1_NULL_1324       SET     252     0.014246    0.0016736      0.05889      0.40442
F1_NULL_1325       SET     252   -0.0058947   -0.0006925     0.061341      0.53828
F1_NULL_1326       SET     252    -0.019147   -0.0022493     0.061078      0.62304
F1_NULL_1327       SET     252       0.1448      0.01701     0.062611     0.010377
F1_NULL_1328       SET     252    -0.027103    -0.003184     0.062628       0.6674
F1_NULL_1329       SET     252     0.032504    0.0038185     0.061552      0.29873
F1_NULL_1330       SET     252    0.0023878   0.00028051     0.060849      0.48435
F1_NULL_1331       SET     252     0.049236    0.0057842     0.063341      0.21849
F1_NULL_1332       SET     252      0.10653     0.012515     0.062804      0.04493
F1_NULL_1333       SET     252    -0.072977   -0.0085732     0.062006      0.88038
F1_NULL_1334       SET     252     0.059431    0.0069819     0.062441       0.1706
F1_NULL_1335       SET     252    -0.045613   -0.0053585     0.061745      0.76996
F1_NULL_1336       SET     252    -0.012135   -0.0014256     0.064629      0.57447
F1_NULL_1337       SET     252    -0.092376    -0.010852     0.060346      0.93708
F1_NULL_1338       SET     252      0.17412     0.020455     0.060898     0.002126
F1_NULL_1339       SET     252    -0.042314    -0.004971     0.061385      0.75469
F1_NULL_1340       SET     252   -0.0027588   -0.0003241     0.063553      0.51731
F1_NULL_1341       SET     252     -0.19608    -0.023036     0.060529       0.9994
F1_NULL_1342       SET     252    -0.080249   -0.0094275     0.060904      0.90618
F1_NULL_1343       SET     252   -0.0022497  -0.00026429     0.060904      0.51473
F1_NULL_1344       SET     252    -0.013835   -0.0016254     0.058914      0.59283
F1_NULL_1345       SET     252    -0.039943   -0.0046925     0.061443      0.74218
F1_NULL_1346       SET     252     0.010397    0.0012214      0.06229      0.43372
F1_NULL_1347       SET     252     0.026246    0.0030833     0.061224      0.33408
F1_NULL_1348       SET     252    0.0021552   0.00025319     0.061262      0.48597
F1_NULL_1349       SET     252    0.0081886   0.00096198     0.060737      0.44638
