axis	null_set_id	target_genes	sampled_genes	fallback_draws
F1	F1_NULL_0166	252	252	1
F1	F1_NULL_0167	252	252	1
F1	F1_NULL_0168	252	252	1
F1	F1_NULL_0169	252	252	1
F1	F1_NULL_0170	252	252	1
F1	F1_NULL_0171	252	252	1
F1	F1_NULL_0172	252	252	1
F1	F1_NULL_0173	252	252	1
F1	F1_NULL_0174	252	252	1
F1	F1_NULL_0175	252	252	1
F1	F1_NULL_0176	252	252	1
F1	F1_NULL_0177	252	252	1
F1	F1_NULL_0178	252	252	1
F1	F1_NULL_0179	252	252	1
F1	F1_NULL_0180	252	252	1
F1	F1_NULL_0181	252	252	1
F1	F1_NULL_0182	252	252	1
F1	F1_NULL_0183	252	252	1
F1	F1_NULL_0184	252	252	1
F1	F1_NULL_0185	252	252	1
F1	F1_NULL_0186	252	252	1
F1	F1_NULL_0187	252	252	1
F1	F1_NULL_0188	252	252	1
F1	F1_NULL_0189	252	252	1
F1	F1_NULL_0190	252	252	1
F1	F1_NULL_0191	252	252	1
F1	F1_NULL_0192	252	252	1
F1	F1_NULL_0193	252	252	1
F1	F1_NULL_0194	252	252	1
F1	F1_NULL_0195	252	252	1
F1	F1_NULL_0196	252	252	1
F1	F1_NULL_0197	252	252	1
F1	F1_NULL_0198	252	252	1
F1	F1_NULL_0199	252	252	1
F1	F1_NULL_0200	252	252	1
F1	F1_NULL_0201	252	252	1
F1	F1_NULL_0202	252	252	1
F1	F1_NULL_0203	252	252	1
F1	F1_NULL_0204	252	252	1
F1	F1_NULL_0205	252	252	1
F1	F1_NULL_0206	252	252	1
F1	F1_NULL_0207	252	252	1
F1	F1_NULL_0208	252	252	1
F1	F1_NULL_0209	252	252	1
F1	F1_NULL_0210	252	252	1
F1	F1_NULL_0211	252	252	1
F1	F1_NULL_0212	252	252	1
F1	F1_NULL_0213	252	252	1
F1	F1_NULL_0214	252	252	1
F1	F1_NULL_0215	252	252	1
F1	F1_NULL_0216	252	252	1
F1	F1_NULL_0217	252	252	1
F1	F1_NULL_0218	252	252	1
F1	F1_NULL_0219	252	252	1
F1	F1_NULL_0220	252	252	1
F1	F1_NULL_0221	252	252	1
F1	F1_NULL_0222	252	252	1
F1	F1_NULL_0223	252	252	1
F1	F1_NULL_0224	252	252	1
F1	F1_NULL_0225	252	252	1
F1	F1_NULL_0226	252	252	1
F1	F1_NULL_0227	252	252	1
F1	F1_NULL_0228	252	252	1
F1	F1_NULL_0229	252	252	1
F1	F1_NULL_0230	252	252	1
F1	F1_NULL_0231	252	252	1
F1	F1_NULL_0232	252	252	1
F1	F1_NULL_0233	252	252	1
F1	F1_NULL_0234	252	252	1
F1	F1_NULL_0235	252	252	1
F1	F1_NULL_0236	252	252	1
F1	F1_NULL_0237	252	252	1
F1	F1_NULL_0238	252	252	1
F1	F1_NULL_0239	252	252	1
F1	F1_NULL_0240	252	252	1
F1	F1_NULL_0241	252	252	1
F1	F1_NULL_0242	252	252	1
F1	F1_NULL_0243	252	252	1
F1	F1_NULL_0244	252	252	1
F1	F1_NULL_0245	252	252	1
F1	F1_NULL_0246	252	252	1
F1	F1_NULL_0247	252	252	1
F1	F1_NULL_0248	252	252	1
F1	F1_NULL_0249	252	252	1
F1	F1_NULL_0250	252	252	1
F1	F1_NULL_0251	252	252	1
