sample_id	source_file	pc1	pc2	pca_scope
5008-0005	Skin_norm_counts_d.txt	33.86906546761141	6.457146094699629	discovery_skin_baseline_norm
5009-0005	Skin_norm_counts_d.txt	35.23675213922085	-14.538342997047424	discovery_skin_baseline_norm
5009-0006	Skin_norm_counts_d.txt	-20.058949365437215	-31.33062650728475	discovery_skin_baseline_norm
5010-0006	Skin_norm_counts_d.txt	-20.89405530538298	-14.812802474335687	discovery_skin_baseline_norm
5010-0005	Skin_norm_counts_d.txt	25.082720506982216	-2.3665907502667545	discovery_skin_baseline_norm
5011-0006	Skin_norm_counts_d.txt	-22.730404876026473	-2.9499397291580274	discovery_skin_baseline_norm
5011-0005	Skin_norm_counts_d.txt	39.683011032780634	10.328806854199913	discovery_skin_baseline_norm
5012-0005	Skin_norm_counts_d.txt	18.460264035037905	-17.283633468553578	discovery_skin_baseline_norm
5012-0006	Skin_norm_counts_d.txt	-29.783668474454128	-8.408138409548997	discovery_skin_baseline_norm
5013-0005	Skin_norm_counts_d.txt	15.983200919284641	3.255393740156536	discovery_skin_baseline_norm
5013-0006	Skin_norm_counts_d.txt	-26.39112498650648	-11.116375428447876	discovery_skin_baseline_norm
5014-0006	Skin_norm_counts_d.txt	-9.593884319243896	-18.824256431332508	discovery_skin_baseline_norm
5014-0005	Skin_norm_counts_d.txt	30.09338076915398	-0.5051965251256816	discovery_skin_baseline_norm
5015-0005	Skin_norm_counts_d.txt	31.89756145506988	0.9675365032310054	discovery_skin_baseline_norm
5015-0006	Skin_norm_counts_d.txt	-21.89006012349345	-13.86586179437846	discovery_skin_baseline_norm
5016-0005	Skin_norm_counts_d.txt	22.887406700286892	13.54774457493842	discovery_skin_baseline_norm
5016-0006	Skin_norm_counts_d.txt	-36.01065977670884	5.813945934295799	discovery_skin_baseline_norm
5017-0005	Skin_norm_counts_d.txt	39.43535302152593	-13.143543367009068	discovery_skin_baseline_norm
5017-0006	Skin_norm_counts_d.txt	-25.95996156048275	-11.208264309816165	discovery_skin_baseline_norm
5018-0006	Skin_norm_counts_d.txt	-28.17980531352	-12.202006637083413	discovery_skin_baseline_norm
5018-0005	Skin_norm_counts_d.txt	14.690141426021478	10.54395287119059	discovery_skin_baseline_norm
5019-0006	Skin_norm_counts_d.txt	-38.23063117111019	12.597038245648545	discovery_skin_baseline_norm
5019-0005	Skin_norm_counts_d.txt	38.7527366365006	2.5377951059218855	discovery_skin_baseline_norm
5020-0005	Skin_norm_counts_d.txt	22.981537222320814	6.492387664777271	discovery_skin_baseline_norm
5020-0006	Skin_norm_counts_d.txt	-36.80695814045768	10.774374545264395	discovery_skin_baseline_norm
5021-0005	Skin_norm_counts_d.txt	36.11472583586995	10.489422536970933	discovery_skin_baseline_norm
5021-0006	Skin_norm_counts_d.txt	-19.98479758272125	6.25779527672307	discovery_skin_baseline_norm
5022-0006	Skin_norm_counts_d.txt	-27.07643197993094	-3.432408169600721	discovery_skin_baseline_norm
5022-0005	Skin_norm_counts_d.txt	28.7969703817037	6.290634651032086	discovery_skin_baseline_norm
5023-0005	Skin_norm_counts_d.txt	30.115630843775563	15.180510430018586	discovery_skin_baseline_norm
5023-0006	Skin_norm_counts_d.txt	-26.976851120697315	4.012496308817596	discovery_skin_baseline_norm
5024-0005	Skin_norm_counts_d.txt	40.64291606002962	3.0072176515365023	discovery_skin_baseline_norm
5024-0006	Skin_norm_counts_d.txt	-26.96332855769751	-3.803725751611619	discovery_skin_baseline_norm
5025-0006	Skin_norm_counts_d.txt	-24.278904215088787	4.586087431929737	discovery_skin_baseline_norm
5025-0005	Skin_norm_counts_d.txt	22.683419983694222	10.503289727541219	discovery_skin_baseline_norm
60001-0006	Skin_norm_counts_d.txt	-31.41556005740759	16.039316495188473	discovery_skin_baseline_norm
60001-0005	Skin_norm_counts_d.txt	28.84420296917762	-1.8251455697844248	discovery_skin_baseline_norm
60005-0006	Skin_norm_counts_d.txt	-10.998220695477507	-36.93919627815748	discovery_skin_baseline_norm
60005-0005	Skin_norm_counts_d.txt	40.37070900205376	-7.427481287688205	discovery_skin_baseline_norm
6001-0006	Skin_norm_counts_d.txt	-27.716606573527088	17.647890896562313	discovery_skin_baseline_norm
6001-0005	Skin_norm_counts_d.txt	27.467925738247168	7.089740140516507	discovery_skin_baseline_norm
6002-0006	Skin_norm_counts_d.txt	-27.500880353718113	-6.461999673794976	discovery_skin_baseline_norm
6002-0005	Skin_norm_counts_d.txt	32.30507291236047	2.6108116555854513	discovery_skin_baseline_norm
6003-0005	Skin_norm_counts_d.txt	19.630763109026393	8.655340650234372	discovery_skin_baseline_norm
6003-0006	Skin_norm_counts_d.txt	-30.79058497896914	2.502689184114822	discovery_skin_baseline_norm
6004-0005	Skin_norm_counts_d.txt	38.770011890687975	-1.6754531185322814	discovery_skin_baseline_norm
6004-0006	Skin_norm_counts_d.txt	-33.65773524419198	10.273988225062013	discovery_skin_baseline_norm
6005-0005	Skin_norm_counts_d.txt	15.240706256736939	4.677323732112986	discovery_skin_baseline_norm
6005-0006	Skin_norm_counts_d.txt	-31.370661508023144	9.452718115611779	discovery_skin_baseline_norm
6006-0005	Skin_norm_counts_d.txt	24.08709258981858	14.087053192290542	discovery_skin_baseline_norm
6006-0006	Skin_norm_counts_d.txt	-37.27072053274399	23.27623673857824	discovery_skin_baseline_norm
6007-0006	Skin_norm_counts_d.txt	-29.875315156809826	-9.894576259639411	discovery_skin_baseline_norm
6007-0005	Skin_norm_counts_d.txt	22.106954556045046	7.449298522335423	discovery_skin_baseline_norm
6008-0006	Skin_norm_counts_d.txt	-23.430033796811315	-12.557199501388691	discovery_skin_baseline_norm
