trait	shared_nonmissing_snps	pearson_z_correlation	spearman_z_correlation	mean_z_product
psoriatic_arthritis_GCST90243956	1171636	0.014503977358606313	0.014140150384933407	0.018610589052401927
crohn_disease_GCST004132	1137184	-0.11124927175348247	-0.09198520054666949	-0.16359534255318398
ulcerative_colitis_GCST004133	1137148	-0.09401815371545813	-0.08446233846964417	-0.13135748885193482
coronary_artery_disease_CADMETA_eu	1174643	0.07052234114539567	0.06329746014797928	0.10938355760260772
